CODE	NAME	SEARCH	DESCRIPTION	CSCore	KACore	NonCore	ILOs
AI	Artificial Intelligence	(artificial intelligence, ai)	Artificial intelligence (AI) studies problems that are difficult or impractical to solve with traditional algorithmic approaches. These problems are often reminiscent of those considered to require human intelligence, and the resulting AI solution strategies typically generalize over classes of problems. AI techniques are now pervasive in computing, supporting everyday applications such as email, social media, photography, financial markets, and intelligent virtual assistants (e.g., Siri, Alexa). These techniques are also used in the design and analysis of autonomous agents that perceive their environment and interact rationally with it, such as self-driving vehicles and other robots. Traditionally, AI has included a mix of symbolic and subsymbolic approaches. The solutions it provides rely on a broad set of general and specialized knowledge representation schemes, problem solving mechanisms, and optimization techniques. These approaches deal with perception (e.g., speech recognition, natural language understanding, computer vision), problem solving (e.g., search, planning, optimization), generation (e.g., narrative, conversation, images, models, recommendations), acting (e.g., robotics, task-automation, control), and the architectures needed to support them (e.g., single agents, multi-agent systems). Machine learning may be used within each of these aspects and can even be employed end-to-end across all of them. The study of Artificial Intelligence prepares students to determine when an AI approach is appropriate for a given problem, identify appropriate representations and reasoning mechanisms, implement them, and evaluate them with respect to both performance and their broader societal impact.			
AI.1	Fundamental Issues	(ai issues)		Overview of AI problems, Examples of successful recent AI applications; Definitions of agents with examples (e.g., reactive, deliberative); What is intelligent behavior?; The Turing test and its flaws; Multimodal input and output; Simulation of intelligent behavior; Rational versus non-rational reasoning; Problem characteristics; Fully versus partially observable; Single versus multi-agent; Deterministic versus stochastic; Static versus dynamic; Discrete versus continuous; Nature of agents; Autonomous, semi-autonomous, mixed-initiative autonomy; Reflexive, goal-based, and utility-based; Decision making under uncertainty and with incomplete information; The importance of perception and environmental interactions; Learning-based agents; Embodied agents; sensors, dynamics, effectors; Overview of AI Applications, growth, and impact (economic, societal, ethics)	Practice identifying problem characteristics in example environments; Additional depth on nature of agents with examples; Additional depth on AI Applications, Growth, and Impact (economic, societal, ethics, security)	Philosophical issues; History of AI	Describe the Turing test and the 'Chinese Room' thought experiment; Differentiate between optimal reasoning/behavior and human-like reasoning/behavior; Differentiate the terms: AI, machine learning, and deep learn; Enumerate the characteristics of a specific problem.
AI.2	Search	(ai search)		State space representation of a problem; Specifying states, goals, and operators; Factoring states into representations (hypothesis spaces); Problem solving by graph search; e.g., Graphs as a space, and tree traversals as exploration of that space; Dynamic construction of the graph (not given upfront); Uninformed graph search for problem solving (See also: AL-Foundational); Breadth-first search; Depth-first search; With iterative deepening; Uniform cost search; Heuristic graph search for problem solving (See also: AL-Strategies); Heuristic construction and admissibility; Hill-climbing; Local minima and the search landscape; Local vs global solutions; Greedy best-first search; A* search; Space and time complexities of graph search algorithms	Bidirectional search; Beam search; Two-player adversarial games; Minimax search; Alpha-beta pruning; Ply cutoff; Implementation of A* search; Constraint satisfaction	Understanding the search space; Constructing search trees; Dynamic search spaces; Combinatorial explosion of search space; Search space topology (e.g., ridges, saddle points, local minima); Local search; Tabu search; Variations on A* (IDA*, SMA*, RBFS); Two-player adversarial games; The horizon effect; Opening playbooks/endgame solutions; What it means to 'solve' a game (e.g., checkers); Implementation of minimax search, beam search; Expectimax search (MDP-solving) and chance nodes; Stochastic search; Simulated annealing; Genetic algorithms; Monte-Carlo tree search	Design the state space representation for a puzzle (e.g., N-queens or 3-jug problem); Select and implement an appropriate uninformed search algorithm for a problem (e.g., tic-tac-toe), and characterize its time and space complexities.; Select and implement an appropriate informed search algorithm for a problem after designing a helpful heuristic function (e.g., a robot navigating a 2D gridworld).; Evaluate whether a heuristic for a given problem is admissible/can guarantee an optimal solution.; Apply minimax search in a two-player adversarial game (e.g., connect four), using heuristic evaluation at a particular depth to compute the scores to back; [KA Core]; Design and implement a genetic algorithm solution to a problem.; Design and implement a simulated annealing schedule to avoid local minima in a problem. 70; Design and implement A*/beam search to solve a problem, and compare it against other search algorithms in terms of the solution cost, number of nodes expanded,;; Apply minimax search with alpha-beta pruning to prune search space in a two-player adversarial game (e.g., connect four).; Compare and contrast genetic algorithms with classic search techniques, explaining when it is most appropriate to use a genetic algorithm to learn a model versus other forms of optimization (e.g., gradient descent).; Compare and contrast various heuristic searches vis-a-vis applicability to a given problem.; Model a logic or Sudoku puzzle as a constraint satisfaction problem, solve it with backtrack search, and determine how much arc consistency can reduce the search space.
AI.3	Fundamental Knowledge Representation and Reasoning	(knowledge representation, knowledge reasoning)		Types of representations; Symbolic, logical; Creating a representation from a natural language problem statement; Learned subsymbolic representations; Graphical models (e.g., naive Bayes, Bayesian network); Review of probabilistic reasoning, Bayes theorem (See also: MSF-Probability); Bayesian reasoning; Bayesian inference	Random variables and probability distributions; Axioms of probability; Probabilistic inference; Bayes’ Rule (derivation); Bayesian inference (more complex examples); Independence; Conditional Independence; Markov chains and Markov models; Utility and decision making		Given a natural language problem statement, encode it as a symbolic or logical representation.; Explain how we can make decisions under uncertainty, using concepts such as Bayes theorem and utility.; Compute a probabilistic inference in a real-world problem using Bayes’ theorem to determine the probability of a hypothesis given evidence.; Apply Bayes’ rule to determine the probability of a hypothesis given evidence.; Compute the probability of outcomes and test whether outcomes are independent
AI.4	Machine Learning	(machine learning, ml)		Definition and examples of a broad variety of machine learning tasks; Supervised learning; Classification; Regression; Reinforcement learning; Unsupervised learning; Clustering; Fundamental ideas:; No free lunch theorem: no one learner can solve all problems; representational design decisions have consequences.; Sources of error and undecidability in machine learning; A simple statistical-based supervised learning such as linear regression or decision trees; Focus on how they work without going into mathematical or optimization details; enough to understand and use existing implementations correctly; The overfitting problem/controlling solution complexity (regularization, pruning – intuition only); The bias (underfitting) – variance (overfitting) tradeoff; Working with Data; Data preprocessing; Importance and pitfalls of preprocessing choices; Handling missing values (imputing, flag-as-missing); Implications of imputing vs flag-as-missing; Encoding categorical variables, encoding real-valued data; Normalization/standardization; Emphasis on real data, not textbook examples; Representations; Hypothesis spaces and complexity; Simple basis feature expansion, such as squaring univariate features; Learned feature representations; Machine learning evaluation; Separation of train, validation, and test sets; Performance metrics for classifiers; Estimation of test performance on held-out data; Tuning the parameters of a machine learning model with a validation set; Importance of understanding what a model is doing, where its pitfalls/shortcomings are, and the implications of its decisions; Basic neural networks; Fundamentals of understanding how neural networks work and their training process, without details of the calculations; Basic introduction to generative neural networks (e.g., large language models); Ethics for Machine Learning (See also: SEP-Context); Focus on real data, real scenarios, and case studies; Dataset/algorithmic/evaluation bias and unintended consequences	Formulation of simple machine learning as an optimization problem, such as least squares linear regression or logistic regression; Objective function; Gradient descent; Regularization to avoid overfitting (mathematical formulation); Ensembles of models; Simple weighted majority combination; Deep learning; Deep feed-forward networks (intuition only, no mathematics); Convolutional neural networks (intuition only, no mathematics); Visualization of learned feature representations from deep nets; Other architectures (generative NN, recurrent NN, transformers, etc.); Performance evaluation; Other metrics for classification (e.g., error, precision, recall); Performance metrics for regressors; Confusion matrix; Cross-validation; Parameter tuning (grid/random search, via cross-validation); Overview of reinforcement learning methods; Two or more applications of machine learning algorithms; E.g., medicine and health, economics, vision, natural language, robotics, game play; Ethics for Machine Learning; Continued focus on real data, real scenarios, and case studies (See also: SEP-Context); Privacy (See also: SEP-Privacy); Fairness (See also: SEP-Privacy); Intellectual property; Explainability	General statistical-based learning, parameter estimation (maximum likelihood); Supervised learning; Decision trees; Nearest-neighbor classification and regression; Learning simple neural networks / multi-layer perceptrons; Linear regression; Logistic regression; Support vector machines (SVMs) and kernels; Gaussian Processes; Overfitting; The curse of dimensionality; Regularization (mathematical computations, L2 and L1 regularization); Experimental design 73; Data preparation (e.g., standardization, representation, one-hot encoding); Hypothesis space; Biases (e.g., algorithmic, search); Partitioning data: stratification, training set, validation set, test set; Parameter tuning (grid/random search, via cross-validation); Performance evaluation; Cross-validation; Metric: error, precision, recall, confusion matrix; Receiver operating characteristic (ROC) curve and area under ROC curve; Bayesian learning (Cross-Reference AI/Reasoning Under Uncertainty); Naive Bayes and its relationship to linear models; Bayesian networks; Prior/posterior; Generative models; Deep learning; Deep feed-forward networks; Neural tangent kernel and understanding neural network training; Convolutional neural networks; Autoencoders; Recurrent networks; Representations and knowledge transfer; Adversarial training and generative adversarial networks; Attention mechanisms; Representations; Manually crafted representations; Basis expansion; Learned representations (e.g., deep neural networks); Unsupervised learning and clustering; K-means; Gaussian mixture models; Expectation maximization (EM); Self-organizing maps; Graph analysis (e.g., PageRank); Semi-supervised learning; Graphical models (See also: AI-Probability); Ensembles; Weighted majority; Boosting/bagging; Random forest; Gated ensemble; Learning theory; General overview of learning theory / why learning works; VC dimension; Generalization bounds 74; Reinforcement learning; Exploration vs exploitation tradeoff; Markov decision processes; Value and policy iteration; Policy gradient methods; Deep reinforcement learning; Learning from demonstration and inverse RL; Explainable / interpretable machine learning; Understanding feature importance (e.g., LIME, Shapley values); Interpretable models and representations; Recommender systems; Hardware for machine learning; GPUs / TPUs; Application of machine learning algorithms to:; Medicine and health; Economics; Education; Vision; Natural language; Robotics; Game play; Data mining (Cross-reference DM/Data Analytics); Ethics for Machine Learning; Continued focus on real data, real scenarios, and case studies (See also: SEP-Context); In depth exploration of dataset/algorithmic/evaluation bias, data privacy, and fairness (See also: SEP-Privacy, SEP-Context); Trust / explainability	Describe the differences among the three main styles of learning (supervised, reinforcement, and unsupervised) and determine which is appropriate to a particular problem domain.; Differentiate the terms of AI, machine learning, and deep learning.; Frame an application as a classification problem, including the available input features and output to be predicted (e.g., identifying alphabetic characters from pixel grid input).; Apply two or more simple statistical learning algorithms to a classification task and measure the classifiers’ accuracy.; Identify overfitting in the context of a problem and learning curves and describe solutions to overfitting.; Explain how machine learning works as an optimization/search process.; Implement a statistical learning algorithm and the corresponding optimization process to train the classifier and obtain a prediction on new data.; Describe the neural network training process and resulting learned representations. 75; Explain proper ML evaluation procedures, including the differences between training and testing performance, and what can go wrong with the evaluation process leading to inaccurate reporting of ML performance.; Compare two machine learning algorithms on a dataset, implementing the data preprocessing and evaluation methodology (e.g., metrics and handling of train/test splits) from scratch.; Visualize the training progress of a neural network through learning curves in a well-established toolkit (e.g., TensorBoard) and visualize the learned features of the network.; Compare and contrast several learning techniques (e.g., decision trees, logistic regression, naive Bayes, neural networks, and belief networks), providing examples of when each strategy is superior.; Evaluate the performance of a simple learning system on a real-world dataset.; Characterize the state of the art in learning theory, including its achievements and shortcomings.; Explain the problem of overfitting, along with techniques for detecting and managing the problem.; Explain the triple tradeoff among the size of a hypothesis space, the size of the training set, and performance accuracy.; Given a real-world application of machine learning, describe ethical issues regarding the choices of data, preprocessing steps, algorithm selection, and visualization/presentation of results.
AI.5	Applications and Societal Impact	(ai applications, ai societal impact)		At least one application of AI to a specific problem and field, such as medicine, health, sustainability, social media, economics, education, robotics,; (choose at least one for the CS Core).; Formulating and evaluating a specific application as an AI problem; How to deal with underspecified or ill-posed problems; Data availability/scarcity and cleanliness; Basic data cleaning and preprocessing; Data set bias; Algorithmic bias; Evaluation bias; Assessment of societal implications of the application; Deployed deep generative models; High-level overview of deep image generative models (e.g., as of 2023, DALL-E, Midjourney, Stable Diffusion, etc.), their uses, and their shortcomings/pitfalls.; High-level overview of large language models (e.g., as of 2023, ChatGPT, Bard, etc.), their uses, and their shortcomings/pitfalls.; Overview of societal impact of AI 76; Ethics (See also: SEP-Context); Fairness (See also: SEP-Privacy, SEP-DEIA); Trust/explainability (See also: SEP-Context); Privacy and usage of training data (See also: SEP-Privacy); Human autonomy and oversight/regulations/legal requirements (See also: SEP-Context); Sustainability (See also: SEP-Sustainability)	One or more additional applications of AI to a broad set of problems and diverse fields, such as medicine, health, sustainability, social media, economics, education, robotics,; (choose a different area from that chosen for the CS Core).; Formulating and evaluating a specific application as an AI problem; How to deal with underspecified or ill-posed problems; Data availability/scarcity and cleanliness; Basic data cleaning and preprocessing; Data set bias; Algorithmic bias; Evaluation bias; Assessment of societal implications of the application; Additional depth on deployed deep generative models; Introduction to how deep image generative models work, (e.g., as of 2023, DALL-E, Midjourney, Stable Diffusion) including discussion of attention; Introduction to how large language models work, (e.g., as of 2023, ChatGPT, Bard) including discussion of attention; Idea of foundational models, how to use them, and the benefits/issues with training them from big data; Analysis and discussion of the societal impact of AI; Ethics (See also: SEP-Context); Fairness (See also: SEP-Privacy, SEP-DEIA); Trust/explainability (See also: SEP-Context); Privacy and usage of training data (See also: SEP-Privacy); Human autonomy and oversight/regulations/legal requirements (See also: SEP-Context); Sustainability (See also: SEP-Sustainability)		Given a real-world application domain and problem, formulate an AI solution to it, identifying proper data/input, preprocessing, representations, AI techniques, and evaluation metrics/methodology.; Analyze the societal impact of one or more specific real-world AI applications, identifying issues regarding ethics, fairness, bias, trust, and explainability.; Describe some of the failure modes of current deep generative models for language or images, and how this could affect their use in an application.
AI.6	Logical Representation and Reasoning	(logical representation, logical reasoning)				Review of propositional and predicate logic (See also: MSF-Discrete); Resolution and theorem proving (propositional logic only); Forward chaining, backward chaining; Knowledge representation issues; Description logics; Ontology engineering; Semantic web; Non-monotonic reasoning (e.g., non-classical logics, default reasoning); Argumentation; Reasoning about action and change (e.g., situation and event calculus); Temporal and spatial reasoning; Logic programming; Prolog, Answer Set Programming; Rule-based Expert Systems; Semantic networks; Model-based and Case-based reasoning	Translate a natural language (e.g., English) sentence into a predicate logic statement.; Convert a logic statement into clausal form.; Apply resolution to a set of logic statements to answer a query.; Compare and contrast the most common models used for structured knowledge representation, highlighting their strengths and weaknesses.; Identify the components of non-monotonic reasoning and its usefulness as a representational mechanism for belief systems.; Compare and contrast the basic techniques for representing uncertainty.; Compare and contrast the basic techniques for qualitative representation.; Apply situation and event calculus to problems of action and change.; Explain the distinction between temporal and spatial reasoning, and how they interrelate.; Explain the difference between rule-based, case-based, and model-based reasoning techniques.; Define the concept of a planning system and how it differs from classical search techniques.; Describe the differences between planning as search, operator-based planning, and propositional planning, providing examples of domains where each is most applicable.; Explain the distinction between monotonic and non-monotonic inference.
AI.7	Probabilistic Representation and Reasoning	(probabilistic representation, probabilistic reasoning)				Conditional Independence review; Knowledge representations; Bayesian Networks; Exact inference and its complexity; Markov blankets and d-separation; Randomized sampling (Monte Carlo) methods (e.g., Gibbs sampling); Markov Networks 78; Relational probability models; Hidden Markov Models; Decision Theory; Preferences and utility functions; Maximizing expected utility; Game theory	Compute the probability of a hypothesis given the evidence in a Bayesian network.; Explain how conditional independence assertions allow for greater efficiency of probabilistic systems.; Identify examples of knowledge representations for reasoning under uncertainty.; State the complexity of exact inference. Identify methods for approximate inference.; Design and implement at least one knowledge representation for reasoning under uncertainty.; Describe the complexities of temporal probabilistic reasoning.; Design and implement an HMM as one example of a temporal probabilistic system.; Describe the relationship between preferences and utility functions.; Explain how utility functions and probabilistic reasoning can be combined to make rational decisions.
AI.8	Planning	(ai planning)				Review of propositional and first-order logic; Planning operators and state representations; Total order planning; Partial-order planning; Plan graphs and GraphPlan; Hierarchical planning; Planning languages and representations; PDDL; Multi-agent planning; MDP-based planning; Interconnecting planning, execution, and dynamic replanning; Conditional planning; Continuous planning; Probabilistic planning	Construct the state representation, goal, and operators for a given planning problem.; Encode a planning problem in PDDL and use a planner to solve;; Given a set of operators, initial state, and goal state, draw the partial-order planning graph and include ordering constraints to resolve all conflicts.; Construct the complete planning graph for GraphPlan to solve a given problem.
AI.9	Agents and Cognitive Systems	(ai agents, ai cognitive systems)				Agent architectures (e.g., reactive, layered, cognitive); Agent theory (including mathematical formalisms); Rationality, Game Theory; Decision-theoretic agents; Markov decision processes (MDP); Bandit algorithms; Software agents, personal assistants, and information access; Collaborative agents; Information-gathering agents; Believable agents (synthetic characters, modeling emotions in agents); Learning agents; Cognitive systems; Cognitive architectures (e.g., ACT-R, SOAR, ICARUS, FORR); Capabilities (e.g., perception, decision making, prediction, knowledge maintenance); Knowledge representation, organization, utilization, acquisition, and refinement; Applications and evaluation of cognitive systems; Multi-agent systems; Collaborating agents; Agent teams; Competitive agents (e.g., auctions, voting); Swarm systems and biologically inspired models; Multi-agent learning; Human-agent interaction (See also: HCI-User, HCI-Accessibility); Communication methodologies (verbal and non-verbal); Practical issues; Applications; Trading agents, supply chain management; Ethical issues of AI interactions with humans; Regulation and legal requirements of AI systems for interacting with humans	Characterize and contrast the standard agent architectures.; Describe the applications of agent theory to domains such as software agents, personal assistants, and believable agents, and discuss associated ethical implications.; Describe the primary paradigms used by learning agents.; Demonstrate using appropriate examples how multi-agent systems support agent interaction.; Construct an intelligent agent using a well-established cognitive architecture (ACT-R, SOAR) for solving a specific problem.
